iter	Passed	Remaining
0	829	828899
1	1487	742105
2	2195	729612
3	2713	675623
4	3139	624739
5	3530	584837
6	3927	557209
7	4396	545154
8	5002	550787
9	5573	551744
10	6138	551889
11	6615	544679
12	7037	534270
13	7546	531477
14	7995	525058
15	8600	528949
16	9046	523072
17	9471	516701
18	9828	507460
19	10337	506548
20	10732	500331
21	11192	497538
22	11644	494623
23	12048	489958
24	12442	485273
25	12907	483522
26	13394	482710
27	13711	475998
28	14021	469477
29	14587	471656
30	14991	468604
31	15375	465120
32	15790	462704
33	16418	466471
34	16761	462138
35	17209	460828
36	17705	460834
37	18221	461300
38	18643	459390
39	19012	456294
40	19233	449885
41	19589	446824
42	20095	447235
43	20447	444265
44	20740	440159
45	21347	442738
46	21934	444764
47	22435	444971
48	22981	446038
49	23486	446238
50	24205	450409
51	24798	452101
52	25302	452111
53	25748	451069
54	26180	449829
55	26699	450072
56	27410	453482
57	27968	454252
58	28548	455324
59	29039	454949
60	29584	455401
61	30425	460310
