iter	Passed	Remaining
0	773	773095
1	1461	729305
2	2068	687580
3	2775	691206
4	3437	683989
5	3965	656939
6	4530	642672
7	5282	655014
8	6264	689768
9	6910	684162
10	7458	670602
11	7947	654360
12	8467	642875
13	8920	628271
14	9442	620045
15	9797	602564
16	10320	596785
17	10791	588717
18	11563	597026
19	12196	597647
20	12778	595709
21	13209	587239
22	13724	582976
23	14196	577314
24	14601	569462
25	15211	569843
26	15662	564437
27	16226	563275
28	16740	560513
29	17240	557443
30	17698	553230
31	18184	550087
32	18729	548819
33	19232	546418
34	19673	542427
35	20311	543888
36	20758	540292
37	21179	536183
38	21607	532435
39	22079	529906
40	22615	528975
41	22965	523835
42	23421	521268
43	23996	521375
44	24511	520184
45	24996	518395
46	25552	518110
47	26082	517295
48	26606	516386
49	27099	514889
50	27645	514431
51	28168	513532
52	28581	510683
53	29109	509949
54	29614	508837
55	30019	506040
56	30606	506347
57	31287	508148
58	31650	504800
59	32255	505335
60	32694	503277
61	33248	503012
62	33761	502132
63	34210	500324
64	34721	499448
65	35313	499735
66	36003	501361
67	36566	501178
68	37105	500655
69	37649	500196
70	38140	499045
71	38570	497130
72	39085	496331
73	39569	495151
74	39999	493331
75	40520	492644
76	41009	491577
77	41504	490603
78	42043	490149
79	42558	489424
80	43035	488268
81	43458	486527
82	43946	485533
83	44437	484585
84	44974	484133
85	45533	483929
86	46017	482922
87	46532	482249
88	47060	481712
89	47514	480422
90	48078	480258
91	48584	479503
92	49159	479439
93	49627	478321
94	50031	476617
95	50416	474753
96	50977	474562
97	51491	473933
98	52007	473316
99	52481	472334
